[2022-08-31 10:20:55,202][conftest.py 39][INFO]: 账号登录成功
[2022-08-31 10:42:11,365][conftest.py 39][INFO]: 软件成功启动
[2022-08-31 10:42:17,179][test_login.py 46][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-08-31 10:42:32,397][test_login.py 51][INFO]: 软件登录成功，进入病人管理界面
[2022-08-31 10:45:38,654][conftest.py 39][INFO]: 软件成功启动
[2022-08-31 10:45:44,316][test_login.py 46][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-08-31 10:45:50,519][test_login.py 51][INFO]: 软件登录成功，进入病人管理界面
[2022-08-31 11:16:23,434][conftest.py 36][INFO]: 软件成功启动
[2022-08-31 11:16:29,184][test_login.py 46][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-08-31 11:16:35,394][test_login.py 51][INFO]: 软件登录成功，进入病人管理界面
[2022-08-31 11:16:36,836][conftest.py 46][INFO]: 软件已退出
[2022-08-31 11:19:40,373][conftest.py 36][INFO]: 软件成功启动
[2022-08-31 11:19:46,010][test_login.py 46][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-08-31 11:52:32,207][conftest.py 37][INFO]: 软件成功启动
[2022-08-31 11:52:38,017][test_login.py 46][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-08-31 13:08:41,649][conftest.py 37][INFO]: 软件成功启动
[2022-08-31 13:08:47,301][test_login.py 46][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-08-31 13:08:56,421][conftest.py 48][INFO]: 软件已退出
[2022-08-31 14:26:12,639][conftest.py 37][INFO]: 软件成功启动
[2022-08-31 14:26:18,393][test_login.py 46][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-08-31 14:26:27,547][conftest.py 48][INFO]: 软件已退出
[2022-08-31 14:28:21,398][conftest.py 37][INFO]: 软件成功启动
[2022-08-31 14:28:27,090][test_login.py 46][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-08-31 14:28:33,287][test_login.py 51][INFO]: 软件登录成功，进入病人管理界面
[2022-08-31 14:28:33,402][conftest.py 48][INFO]: 软件已退出
[2022-08-31 14:33:33,847][conftest.py 37][INFO]: 软件成功启动
[2022-08-31 14:33:39,479][test_login.py 46][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-08-31 14:33:45,665][test_login.py 51][INFO]: 软件登录成功，进入病人管理界面
[2022-08-31 14:33:45,783][conftest.py 48][INFO]: 软件已退出
[2022-08-31 14:40:37,603][conftest.py 37][INFO]: 软件成功启动
[2022-08-31 14:40:43,241][test_login.py 46][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-08-31 14:40:49,417][test_login.py 51][INFO]: 软件登录成功，进入病人管理界面
[2022-08-31 14:40:49,530][conftest.py 48][INFO]: 软件已退出
[2022-08-31 14:48:11,134][conftest.py 37][INFO]: 软件成功启动
[2022-08-31 14:48:16,802][test_login.py 46][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-08-31 14:48:22,947][test_login.py 51][INFO]: 软件登录成功，进入病人管理界面
[2022-08-31 14:48:23,078][conftest.py 48][INFO]: 软件已退出
[2022-08-31 15:05:05,417][conftest.py 37][INFO]: 软件成功启动
[2022-08-31 15:05:11,037][test_login.py 46][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-08-31 15:05:17,216][test_login.py 51][INFO]: 软件登录成功，进入病人管理界面
[2022-08-31 15:05:17,353][conftest.py 48][INFO]: 软件已退出
[2022-08-31 17:33:54,940][conftest.py 37][INFO]: 软件成功启动
[2022-08-31 17:34:00,587][test_login.py 46][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-08-31 17:34:06,773][test_login.py 51][INFO]: 软件登录成功，进入病人管理界面
[2022-08-31 17:34:06,903][conftest.py 48][INFO]: 软件已退出
[2022-08-31 17:35:51,930][conftest.py 37][INFO]: 软件成功启动
[2022-08-31 17:35:57,559][test_login.py 46][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-08-31 17:36:03,744][test_login.py 51][INFO]: 软件登录成功，进入病人管理界面
[2022-08-31 17:36:03,870][conftest.py 48][INFO]: 软件已退出
[2022-08-31 17:42:12,743][conftest.py 37][INFO]: 软件成功启动
[2022-08-31 17:42:18,279][test_login.py 46][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-08-31 17:42:24,454][test_login.py 51][INFO]: 软件登录成功，进入病人管理界面
[2022-08-31 17:42:24,583][conftest.py 48][INFO]: 软件已退出
[2022-08-31 17:46:51,350][conftest.py 37][INFO]: 软件成功启动
[2022-08-31 17:46:56,852][test_login.py 47][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-08-31 17:47:03,035][test_login.py 52][INFO]: 软件登录成功，进入病人管理界面
[2022-08-31 17:47:03,162][conftest.py 48][INFO]: 软件已退出
[2022-08-31 17:48:05,360][conftest.py 37][INFO]: 软件成功启动
[2022-08-31 17:48:10,974][test_login.py 47][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-08-31 17:48:17,133][test_login.py 52][INFO]: 软件登录成功，进入病人管理界面
[2022-08-31 17:48:17,257][conftest.py 48][INFO]: 软件已退出
