[2022-09-07 09:43:07,955][conftest.py 38][INFO]: 软件成功启动
[2022-09-07 09:43:14,009][test_login.py 150][INFO]: 软件已退出
[2022-09-07 09:45:00,588][conftest.py 38][INFO]: 软件成功启动
[2022-09-07 09:45:06,706][test_login.py 150][INFO]: 软件已退出
[2022-09-07 09:51:45,836][conftest.py 38][INFO]: 软件成功启动
[2022-09-07 09:51:51,881][test_login.py 150][INFO]: 软件已退出
[2022-09-07 09:55:42,186][conftest.py 38][INFO]: 软件成功启动
[2022-09-07 09:57:59,812][conftest.py 38][INFO]: 软件成功启动
[2022-09-07 10:37:37,265][conftest.py 38][INFO]: 软件成功启动
[2022-09-07 10:42:58,037][conftest.py 38][INFO]: 软件成功启动
[2022-09-07 10:49:37,449][conftest.py 38][INFO]: 软件成功启动
[2022-09-07 10:54:22,656][conftest.py 38][INFO]: 软件成功启动
[2022-09-07 10:57:32,062][conftest.py 38][INFO]: 软件成功启动
[2022-09-07 11:03:03,167][conftest.py 38][INFO]: 软件成功启动
[2022-09-07 11:05:37,499][conftest.py 38][INFO]: 软件成功启动
[2022-09-07 11:09:21,732][conftest.py 38][INFO]: 软件成功启动
[2022-09-07 11:10:28,609][conftest.py 38][INFO]: 软件成功启动
[2022-09-07 11:13:15,048][conftest.py 38][INFO]: 软件成功启动
[2022-09-07 11:14:48,577][conftest.py 38][INFO]: 软件成功启动
[2022-09-07 11:16:57,587][conftest.py 38][INFO]: 软件成功启动
[2022-09-07 11:18:33,987][conftest.py 38][INFO]: 软件成功启动
