[2022-09-20 13:12:32,193][environment.py 12][INFO]: 软件成功启动
[2022-09-20 13:12:37,164][login.py 42][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-20 13:12:42,213][login.py 50][INFO]: 软件登录成功，进入病人管理界面
[2022-09-20 13:12:46,365][environment.py 20][INFO]: 软件已退出
[2022-09-20 13:12:58,237][environment.py 12][INFO]: 软件成功启动
[2022-09-20 13:13:03,115][login.py 42][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-20 13:13:15,731][environment.py 20][INFO]: 软件已退出
[2022-09-20 13:13:27,597][environment.py 12][INFO]: 软件成功启动
[2022-09-20 13:13:32,575][login.py 42][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-20 13:13:45,154][environment.py 20][INFO]: 软件已退出
[2022-09-20 13:13:57,006][environment.py 12][INFO]: 软件成功启动
[2022-09-20 13:14:01,883][login.py 42][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-20 13:14:14,473][environment.py 20][INFO]: 软件已退出
[2022-09-20 14:37:28,311][environment.py 12][INFO]: 软件成功启动
[2022-09-20 14:37:33,327][login.py 42][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-20 14:37:38,360][login.py 50][INFO]: 软件登录成功，进入病人管理界面
[2022-09-20 14:37:42,499][environment.py 20][INFO]: 软件已退出
[2022-09-20 14:37:54,383][environment.py 12][INFO]: 软件成功启动
[2022-09-20 14:37:59,385][login.py 42][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-20 14:38:12,121][environment.py 20][INFO]: 软件已退出
[2022-09-20 14:38:24,003][environment.py 12][INFO]: 软件成功启动
[2022-09-20 14:38:28,961][login.py 42][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-20 14:38:41,701][environment.py 20][INFO]: 软件已退出
[2022-09-20 14:38:53,586][environment.py 12][INFO]: 软件成功启动
[2022-09-20 14:38:58,525][login.py 42][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-20 14:39:11,257][environment.py 20][INFO]: 软件已退出
[2022-09-20 14:50:30,578][environment.py 12][INFO]: 软件成功启动
[2022-09-20 14:50:35,615][login.py 42][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-20 14:50:40,657][login.py 50][INFO]: 软件登录成功，进入病人管理界面
[2022-09-20 14:50:44,772][environment.py 20][INFO]: 软件已退出
[2022-09-20 14:50:56,659][environment.py 12][INFO]: 软件成功启动
[2022-09-20 14:51:01,590][login.py 42][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-20 14:51:14,268][environment.py 20][INFO]: 软件已退出
[2022-09-20 14:51:26,111][environment.py 12][INFO]: 软件成功启动
[2022-09-20 14:51:31,010][login.py 42][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-20 14:51:43,701][environment.py 20][INFO]: 软件已退出
[2022-09-20 14:51:55,554][environment.py 12][INFO]: 软件成功启动
[2022-09-20 14:52:00,553][login.py 42][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-20 14:52:13,240][environment.py 20][INFO]: 软件已退出
[2022-09-20 14:56:43,037][environment.py 12][INFO]: 软件成功启动
[2022-09-20 14:56:48,051][login.py 42][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-20 14:56:53,081][login.py 50][INFO]: 软件登录成功，进入病人管理界面
[2022-09-20 14:56:57,206][environment.py 20][INFO]: 软件已退出
[2022-09-20 14:57:09,066][environment.py 12][INFO]: 软件成功启动
[2022-09-20 14:57:14,018][login.py 42][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-20 14:57:27,623][environment.py 20][INFO]: 软件已退出
[2022-09-20 14:57:39,518][environment.py 12][INFO]: 软件成功启动
[2022-09-20 14:57:44,507][login.py 42][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-20 14:57:57,803][environment.py 20][INFO]: 软件已退出
[2022-09-20 14:58:09,667][environment.py 12][INFO]: 软件成功启动
[2022-09-20 14:58:14,667][login.py 42][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-20 14:58:27,928][environment.py 20][INFO]: 软件已退出
[2022-09-20 15:01:45,471][environment.py 12][INFO]: 软件成功启动
[2022-09-20 15:01:50,504][login.py 42][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-20 15:01:55,538][login.py 50][INFO]: 软件登录成功，进入病人管理界面
[2022-09-20 15:01:59,669][environment.py 20][INFO]: 软件已退出
[2022-09-20 15:02:11,556][environment.py 12][INFO]: 软件成功启动
[2022-09-20 15:02:16,504][login.py 42][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-20 15:02:29,779][environment.py 20][INFO]: 软件已退出
[2022-09-20 15:02:41,664][environment.py 12][INFO]: 软件成功启动
[2022-09-20 15:02:46,666][login.py 42][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-20 15:02:59,928][environment.py 20][INFO]: 软件已退出
[2022-09-20 15:03:11,792][environment.py 12][INFO]: 软件成功启动
[2022-09-20 15:03:16,793][login.py 42][INFO]: 登录界面点击登录按钮，执行登录操作
[2022-09-20 15:03:30,087][environment.py 20][INFO]: 软件已退出
